vid,idx,kind,claim_id,mse_nrm,L_h,cos,r_norm,dist_to_orig,dL_h,L_o,dL_o,dist
931,103,cat,-1,0.47266683,1.0720081,0.7636669,71.82944,0.88621575,0.76794606,2.3278896808624268,2.2607153430581093,0.88621575
932,103,shuffle,-1,0.1348427,0.30582318,0.93257886,72.1475,0.0029388233,0.0017611086,0.052195943892002106,-0.014978393912315369,0.0029388233
933,103,unrelated,192,0.8055409,1.8269664,0.5972298,71.92459,1.6050998,1.5229044,1.7696220874786377,1.7024477496743202,1.6050998
934,103,unrelated_token,192,0.7210273,1.6352897,0.6394864,72.059784,1.3573303,1.3312275,0.2151331752538681,0.14795883744955063,1.3573303
936,104,paraphrase,-1,0.062089555,0.14081909,0.9689551,72.05527,0.0075461706,0.0017364919,0.0020020080264657736,-0.0010357198771089315,0.0075461706
937,104,translate,-1,0.06307242,0.14304823,0.9684639,72.072334,0.007904301,0.003965631,0.0024505113251507282,-0.0005872165784239769,0.007904301
938,104,polarity,-1,0.060421955,0.13703696,0.96978927,72.048515,0.0049303775,-0.0020456314,0.002880539745092392,-0.00015718815848231316,0.0049303775
939,104,vocab,-1,0.3472399,0.78753996,0.82638055,72.042145,0.7117684,0.64845735,0.0036987755447626114,0.0006610476411879063,0.7117684
940,104,cat,-1,0.5169072,1.1723453,0.74154675,71.86418,1.097866,1.0332627,9.591887474060059,9.588849746156484,1.097866
941,104,shuffle,-1,0.07983877,0.18107429,0.9600809,72.05092,0.046738487,0.041991696,0.002314712153747678,-0.0007230157498270273,0.046738487
942,104,unrelated,221,0.79812735,1.8101525,0.60093653,71.94153,1.798499,1.67107,8.298234939575195,8.29519721167162,1.798499
943,104,unrelated_token,221,0.6792347,1.540504,0.66038287,71.95948,1.5108917,1.4014214,0.017216291278600693,0.014178563375025988,1.5108917
945,105,paraphrase,-1,0.1237677,0.2807051,0.9381163,71.78967,0.019169046,0.011616737,0.03288564831018448,0.0018284991383552551,0.019169046
946,105,translate,-1,0.11141734,0.2526945,0.94429195,71.814545,0.011116181,-0.01639387,0.02464839443564415,-0.006408754736185074,0.011116181
947,105,polarity,-1,0.123140834,0.27928334,0.93843,71.80592,0.007387424,0.010194987,0.029858121648430824,-0.0011990275233983994,0.007387424
948,105,vocab,-1,0.16527432,0.37484208,0.9173629,71.717155,0.11752269,0.10575372,0.04989917576313019,0.018842026591300964,0.11752269
949,105,cat,-1,0.40253568,0.91295075,0.79873246,71.553,0.7444167,0.64386237,5.022058010101318,4.991000860929489,0.7444167
950,105,shuffle,-1,0.11799462,0.26761174,0.9410031,71.80068,0.0031567735,-0.0014766157,0.0322406068444252,0.0011834576725959778,0.0031567735
951,105,unrelated,51,0.7546143,1.7114649,0.6226932,71.95504,1.5429385,1.4423765,2.3613555431365967,2.3302983939647675,1.5429385
952,105,unrelated_token,51,0.6057476,1.3738352,0.69712657,72.09477,1.1614959,1.1047468,0.5658823251724243,0.5348251760005951,1.1614959
954,106,paraphrase,-1,0.10991899,0.24929622,0.9450409,71.888504,0.014401875,0.011838257,0.009378221817314625,-0.005103275179862976,0.014401875
955,106,translate,-1,0.12289866,0.27873412,0.9385511,71.88994,0.02518016,0.041276157,0.009371636435389519,-0.005109860561788082,0.02518016
956,106,polarity,-1,0.10620459,0.24087197,0.9468981,71.904594,0.0038398306,0.003414005,0.014635315164923668,0.00015381816774606705,0.0038398306
957,106,vocab,-1,0.15891087,0.3604098,0.9205449,71.94875,0.16612065,0.122951835,0.020570948719978333,0.006089451722800732,0.16612065
958,106,cat,-1,0.41314015,0.93700165,0.7934303,72.00205,0.7907399,0.6995437,1.124086618423462,1.1096051214262843,0.7907399
959,106,shuffle,-1,0.13485256,0.30584553,0.93257415,71.916405,0.041042842,0.06838757,0.02353975921869278,0.009058262221515179,0.041042842
960,106,unrelated,136,0.80619174,1.8284425,0.5969047,71.852554,1.7064488,1.5909845,5.117960453033447,5.10347895603627,1.7064488
961,106,unrelated_token,136,0.64731985,1.4681212,0.6763405,72.00293,1.4020731,1.2306632,0.03869974613189697,0.024218249134719372,1.4020731
963,107,paraphrase,-1,0.06590463,0.14947167,0.9670482,71.86226,0.015557159,0.015012994,0.0922643169760704,-0.0037767812609672546,0.015557159
964,107,translate,-1,0.056924336,0.12910436,0.97153836,71.90604,0.010053231,-0.005354315,0.09196382015943527,-0.0040772780776023865,0.010053231
965,107,polarity,-1,0.05959723,0.1351665,0.9702019,71.89329,0.0071471804,0.00070782006,0.09156690537929535,-0.00447419285774231,0.0071471804
966,107,vocab,-1,0.12264186,0.2781517,0.9386795,71.81758,0.12434016,0.14369301,0.1524057388305664,0.05636464059352875,0.12434016
967,107,cat,-1,0.39584342,0.89777267,0.80207866,71.89149,0.79847485,0.763314,5.527762413024902,5.431721314787865,0.79847485
968,107,shuffle,-1,0.069035195,0.15657179,0.96548265,71.83166,0.031246878,0.022113115,0.09598692506551743,-5.4173171520233154e-05,0.031246878
969,107,unrelated,129,0.9426075,2.1378334,0.5286969,72.19771,2.0629742,2.0033746,6.261636734008789,6.165595635771751,2.0629742
970,107,unrelated_token,129,0.71988857,1.632707,0.64005613,72.1815,1.4947612,1.4982483,0.9624545574188232,0.8664134591817856,1.4947612
972,108,paraphrase,-1,0.116307236,0.26378477,0.9418466,71.84738,0.0137106,0.013976067,0.0669378861784935,0.01937476173043251,0.0137106
973,108,translate,-1,0.11204829,0.25412548,0.94397616,71.85368,0.010671622,0.004316777,0.0677381083369255,0.020174983888864517,0.010671622
974,108,polarity,-1,0.11233546,0.25477678,0.94383264,71.8545,0.014623353,0.004968077,0.060213178396224976,0.012650053948163986,0.014623353
975,108,vocab,-1,0.13839683,0.31388396,0.930802,71.7952,0.13042226,0.06407526,0.06424079090356827,0.01667766645550728,0.13042226
976,108,cat,-1,0.42641526,0.9671096,0.7867927,71.75974,0.7204901,0.7173009,3.321058988571167,3.273495864123106,0.7204901
