idx,kind,claim_id,vid,sim_to_orig,p_entail_fwd,p_contra_fwd,p_entail_bwd,p_contra_bwd
25,translate,-1,410,0.6190748143917761,0.9972224,0.00061529636,0.9981441497802734,0.00041834614239633083
25,polarity,-1,411,0.9802325581395349,0.0005961531,0.9988158,,
25,vocab,-1,412,0.9869668246445498,0.00042041298,0.9991648,,
25,cat,-1,413,0.9964497041420118,0.9643976,0.016854685,,
26,contradict,0,417,0.962640099626401,0.00022902072,0.9991616,,
26,delete,0,418,0.9579288025889967,0.9367308,0.039657757,,
26,contradict,1,419,0.9775561097256857,0.0005228545,0.9945886,,
26,delete,1,420,0.9599483204134367,0.9428616,0.03606229,,
26,contradict,2,421,0.9698492462311558,0.024341809,0.012777223,,
26,delete,2,422,0.9017735334242838,0.80923086,0.081625275,,
26,paraphrase,-1,423,0.9789864029666254,0.9873,0.00559093,0.9791312217712402,0.009267461486160755
26,translate,-1,424,0.6533018867924528,0.99767715,0.0004869615,0.998332679271698,0.0003984850482083857
26,polarity,-1,425,0.988929889298893,0.0005078394,0.99864,,
26,vocab,-1,426,0.986335403726708,0.00058093143,0.9983423,,
26,cat,-1,427,0.9950310559006211,0.10549622,0.83630013,,
27,contradict,0,431,0.9556818181818182,7.421469e-05,0.9992643,,
27,delete,0,432,0.9327731092436975,0.9815984,0.009128924,,
27,contradict,1,433,0.991577765300393,0.0011034709,0.9973495,,
27,delete,1,434,0.967479674796748,0.959896,0.025110103,,
27,contradict,2,435,0.9650900900900901,0.00019244204,0.9989724,,
27,delete,2,436,0.9410363311494937,0.943068,0.035789482,,
27,contradict,3,437,0.9786516853932584,0.027242549,0.074125275,,
27,delete,3,438,0.9626604434072346,0.9755181,0.014370756,,
27,paraphrase,-1,439,0.9741863075196409,0.994352,0.0014920308,0.9923094511032104,0.0016971345758065581
27,translate,-1,440,0.602577873254565,0.9954265,0.0021228949,0.9966846108436584,0.0016107502160593867
27,polarity,-1,441,0.9790055248618784,0.00075629196,0.99846494,,
27,vocab,-1,442,0.978675645342312,0.00024286931,0.99927884,,
27,cat,4,443,0.9771949828962372,0.0008369007,0.99818087,,
28,contradict,0,447,0.9692753623188406,0.0004527057,0.99895096,,
28,delete,0,448,0.9458966565349544,0.97507155,0.014378212,,
28,contradict,1,449,0.9861910241657077,0.00053136057,0.9989932,,
